,授業科目名,科目番号,単位数,標準履修年次,時間割,担当教員,授業概要,専攻区分,授業方法,学位プログラム・コンピテンスとの関係,授業の到達目標(学修成果),授業計画,履修条件,成績評価方法,学修時間の割り当て及び授業外における学修方法,教材・参考文献・配付資料等,オフィスアワー等(連絡先含む),その他(受講生にのぞむことや受講上の注意点等),他の授業科目との関連,ティーチングフェロー(TF)・ティーチングアシスタント(TA),キーワード
19,公共システム演習,FH27012,2.0 単位,2 - 4 年次,"秋AB 火5,6",作道 真理,公共経済学分野の実証研究でよく用いられる手法を学び、社会経済的な現象を実際のデータおよびコンピュータを用いて分析する。,社会経済システム,演習,[批判的・創造的思考力」、「複雑な社会問題解決のための数学・統計学・情報技術、課題探求能力」に関連する,公共経済学的なテーマについて、経済学的観点からデータを分析し考察するスキルを身につける。,(1) 非線形モデル1(2) 非線形モデル2(3) 非線形モデル3(4) サンプリングの課題(5) モデルとデータ分析1(6) モデルとデータ分析2(7) モデルとデータ分析3(8) 発展1(9) 発展2(10) まとめ,統計学、計量経済学,課題(50%)・プレゼンテーション(50%)。,復習は必ずすること,授業で適宜指示する.,メールでアポイントを取ること,,,,公共経済学
20,国際金融論,FH27031,2.0 単位,2 - 4 年次,"春AB 木3,4",Tran Lam Anh Duong,本授業では、国際金融の理解に不可欠な基本知識である国民経済計算や国際収支会計などをはじめに学習し、その上で分析の鍵となる為替市場と金融市場との関係について学習する。そして短期・長期の為替レートの決定要因、国際金融と財政・金融政策の相互作用のメカニズムについて理解を深める。,社会経済システム,講義,批判的・創造的思考力、広い視野と国際性、社会システムの基礎的理解と洞察力、グローバル課題の分析能力、社会的要請への対応力、,国際金融の基本知識を十分に理解し、講義で扱われる概念を用いて現実の経済問題に対して経済学的な観点から説明することができるようになることが本授業の目標である。,オンデマンド型の講義。(1) 国民経済計算と国際収支会計(2) 貨幣市場(3) 為替レート(4) 金利と外国為替市場(5) 購買力平価(6) 為替レートと開放マクロ経済政策(1)(7) 為替レートと開放マクロ経済政策(2)(8) 為替政策:為替相場制度と為替介入(9) 国際金融システム(10) 経済統合、通貨同盟、基軸通貨,マクロ経済学及びミクロ経済学に相当する科目を履修済みであること。履修済みでない場合は同様の内容について学習済みであること。,復習クイズ(数回 - manaba経由で実施)20%期末試験(資料・ノート等の持ち込み不可)80%,授業毎に復習を十分に行うこと。,特に指定しない。単元ごとに資料を配布する。,講義初日に発表,,,,"為替レート, 国際金融, 財政・金融政策"
21,公共経済学,FH27051,2.0 単位,2 - 4 年次,夏季休業中 集中,岸下 大樹,"環境問題・公共財の過小供給や格差・不平等の存在といった市場の機能不全に対処するには,政府による適切な介入が必要となる.どのような政策介入をすべきかを考える学問である公共経済学の主要トピックについて理論と実証の両面から学習する.",社会経済システム,講義,・批判的・創造的思考力・広い視野と国際性・社会システムの基礎的理解と洞察力・グローバル課題の分析能力・社会的要請への対応力,・数理的かつ直観的な経済学的思考を用いて、現実の社会・経済問題や公共政策の課題に対し、現状の原因は何でどのような対応策が考えられるかということについてオリジナルの答えを導き出せるようにすること。,第1回 イントロダクションとミクロ経済学の復習第2回 外部性と公共財 I第3回 外部性と公共財 II第4回 格差と不平等 I第5回 格差と不平等 II第6回 課税 I第7回 課税 II第8回 課税 III第9回 課税 IV第10回 まとめと演習,ミクロ経済学、微積分を既に履修済みで、それらの基礎概念を十分理解していることを前提とする。,持ち帰り式の試験により評価。複数人で相談しても構わないが、解答は各自で作成し提出するよう求める。,講義中に指示する。,"1.林正義・小川光 ・別所俊一郎『公共経済学』有斐閣アルマ2.須賀晃一編『公共経済学講義』有斐閣3.Jean Hindriks, Gareth D. Myles (201MIT Press.",,・本講義は第1回から第8回まではオンデマンド形式で行います。一度にまとめて動画観ようとは思わず、こまめに動画を確認してください。・第9回と第10回の講義は対面で行います。,,,ミクロ経済学、外部性、公共財、所得再分配、課税と給付
22,財政学,FH27061,2.0 単位,2 - 4 年次,夏季休業中 集中,釣 雅雄,財政制度、政府支出、租税、財政赤字と政府債務、社会保障、財政政策といった「財政学」の基本テーマについて、理論と制度の両面から講義する。,社会経済システム,講義,批判的・創造的思考力、広い視野と国際性、社会システムの基礎的理解と洞察力、グローバル課題の分析能力、社会的要請への対応力,新聞やテレビニュースなどで報道されている現代日本における財政問題を理解できるようになる。政府の役割について財政面から理解できるようになる。,第1回 財政の役割第2回 日本の財政制度第3回 政府の役割と財政I:市場の失敗第4回 政府の役割と財政II:公共財第5回 租税の理論、日本の税制第6回 財政赤字と政府債務I第7回 財政赤字と政府債務II第8回 社会保障の財政問題第9回 財政政策I第10回 財政政策II,経済学の基礎的内容を理解していることが望ましい。,期末試験:30%、授業中に行う小問題(複数):70%評語A+̃Dの基準は大学の規定に準ずる。,毎回の授業内容を復習し、専門用語の意味等を理解しておくこと。,釣雅雄・宮崎智視(2009)『グラフィック財政学』新世社.,外部講師による集中講義のため、オフィスアワーは設けない。,,,,"財政, 税, 政府の役割, 財政政策"
23,マクロ経済学,FH27081,2.0 単位,2 - 4 年次,"秋AB 火1,2","大久保 正勝, Tran Lam Anh Duong",国内総生産、利子率、成長率などが一国経済の中でどのように決定されるかを考える。また、政府や中央銀行が実施する財政・金融政策がどのように経済活動に影響するかを議論する。,社会経済システム,講義,批判的・創造的思考力、広い視野と国際性、社会システムの基礎的理解と洞察力、グローバル課題の分析能力,マクロ経済学の基礎的な概念やモデルを理解し、経済成長の源泉、景気循環の見方、財政金融政策の基本的な役割について説明できるようになる。,前半5回をDuong、後半5回を大久保が担当する。第1回 マクロ経済学における基本概念第2回 総供給・生産のモデル第3回 総需要・消費の決定・投資の決定第4回 経済成長モデル:ソロー・スワンモデル第5回 内生的成長モデル: ローマ―・モデル第6回 財市場: GDPの決定、乗数理論、財政政策第7回 金融市場: 貨幣と債券、利子率の決定、金融政策第8回 IS-LMモデル第9回 IS-LMモデルとAD曲線、労働市場第10回 AS-ADモデル、まとめ,ミクロ経済学を履修済みであること。,前半(50%)と後半(50%)により評価する。評語A+̃Dは大学の規定に準ずる前半:中間試験(資料・ノート等の持ち込み不可)後半:期末試験(資料・ノート等の持ち込み不可),毎回の授業内容を復習し、専門用語の意味等を理解しておくこと。事後学習用に課す練習問題を各自で解くこと。,教科書は指定しない。単元ごとに資料を配布する。,前半5週(Duong): 授業において指示する。後半5週(大久保): 授業において指示する。,マクロ経済学の基礎理論の解説に重点を置くため、時事問題は扱わない。,,TA配置有り(1人),"経済成長, 景気循環, 財政政策, 金融政策"
24,ネットワーク科学,FH27091,2.0 単位,2 - 4 年次,"秋AB 月1,2",佐野 幸恵,社会現象から自然現象まで、あらゆるところに存在する「関係性」を数理的に扱うネットワーク科学を学ぶ。講義では具体例を交えながらPythonを使った実習も行う。,社会経済システム,講義,批判的・創造的思考力、データ・情報リテラシー、広い視野と国際性、複雑な社会問題解決のための数学・統計学・情報技術、グローバル課題の分析能力、課題探求能力,ノードとリンクから構成されるネットワークについて、その定義や分析方法の数理的基礎を習得する。また、Pythonを使った簡単なネットワーク分析ができるようにな,ネットワーク科学の数理的基礎を理解することを目的とする。授業時間では前半は講義、後半はPythonを使った実習を行う。第1回 ネットワーク科学とは何か第2回 ネットワークの基礎知識第3回 スモールワールドネットワーク第4回 ハブと中心性指標第5回 リンクの向きと重み第6回 ここまでのまとめ第7回 ネットワークモデル第8回 コミュニティ第9回 ネットワーク上のダイナミクス第10回 まとめ,"Pythonを使った実習を行うため、プログラミング入門A, Bを履修済みであるしい。",途中課題(40%)と期末試験(60%)で決定する。,授業スライドはその日のうちにできるだけ復習すること。Pythonの実習内容は、次の授業時間までに仕上げておくこと。,"講義の内容は以下の教科書に沿って行う。1. F. Menczer, S. Fortunato, and C.A. D",初回の授業でアナウンスする。sano at sk.tsukuba.ac.jpinfoshako.sk.tsukuba.ac.jp/̃sano/,自身のPC等でPythonの実習環境を確保できることが望ましい。,,TA配置あり(1名),ネットワーク分析、中心性指標、コミュニティ、拡散現象
25,戦略行動システム演習,FH24012,2.0 単位,2 - 4 年次,"春AB 火1,2",上市 秀雄,統計分析用プログラムSPSSを利用した統計処理の基本概念と方法を演習を通して習る。,社会経済システム,演習,汎用コンピテンス:データ・情報リテラシー、批判的・創造的思考、協調性・主体性・自律性、コミュニケーション能力専門コンピテンス:複雑な社会問題解決のための数学・統計学・情報技術、課題探求力、コミュニケーション・スキル,基本的な統計分析手法についての理解を深めるとともに、SPSSを利用した実践的なタ解析手法を習得する。具体的には、自ら仮設を立案し、その仮説検証に必要なデータの収集、適切なデータ解析手法の選択、分析結果の解釈・考察という研究能力、および得られた成果を適切にまとめ、わかりやすくプレゼンテーションするための技術を習得する。さらに様々な問題に対する応用力も習得する。,それぞれの統計分析手法について講義し、その分析手法についてSPSSでの分析の仕ついて説明する。それらを理解させたうえで、各人の興味のあるテーマと関連したデータの収集・解析をさせ、得られた結果をプレゼンテーションさせる。第1回 イントロダクション:SPSSの使い方。基礎統計量と区間推定第2回 t検定第3回 一元配置分散分析第4回 二元配置分散分析第5回 重回帰分析第6回 判別分析第7回 クラスター分析第8回 因子分析第9回 プレゼンテーションの技術・方法。プレゼンテーションのための準備第10回 プレゼンテーション,コンピュータ・ライセンスの制約により、履修可能な学生数は最大で40数名である。希望者数が多い場合には、第1週に抽選をする可能性もあるので、必ず遅刻せずに出席ること。,毎回出席を取り、レポートを課す。最終課題としてプレゼンテーション(および最終レポート)を課す。成績評価は、授業への参加態度+毎回の課題レポートで60%(提出期限は次回授業開で)、プレゼンテーション+最終レポートで40%により評価する。上記項目の合計で90点以上 A+80点以上~90点未満 A70点以上~80点未満 B60点以上~70点未満 C60点未満 Dとする。なお特段の事情が無く3回以上欠席すると単位が認定されないので注意すること(遅刻1/2欠席となる)。,受講者の理解度に応じ、授業中に指示する。毎回必要な資料を配布する。授業内容は、実際の進行状況によって適宜変更を加える場合がある。復習を兼ねて、毎回講義内容にそったレポートを課す。事前に下記の参考図書を読んでおくとよい。,"毎回資料を配布するので、指定教科書はない授業の内容は概ね以下の書籍を参考にしている1. 石村光資郎 著、 石村貞夫 監修,SPSSによる統計処理の手順 第9版",メールで連絡すること (ueichi at sk.tsukuba.ac.jp),本講義の内容は、複雑な社会現象を解明するために必要不可欠な基本的な統計手法および調査・実験計画法です。よって十分理解したうえで、自分自身で仮説を検証するための総合的な能力を習得してもらいたいと思います。授業には、積極的、自発的、自立的に参加してもらいたいと思います。,,,"データ解析, 質問紙法, 実験計画法, プレゼンテーション"
26,ゲーム論,FH24021,2.0 単位,2 - 4 年次,"秋AB 水1,2",澤 亮治,この講義では、社会を複数の利己的なエージェントから成るシステムと考え、複数の人の意思決定が関わる状況を分析するための数学的及び数理的基礎を学ぶ。,社会経済システム,講義,コミュニケーション能力、批判的・創造的思考力、社会システムの基礎的理解と洞察力、複雑な社会問題解決のための数学・統計学・情報技術,ゲーム理論は、複数のエージェント(人、企業、国家)が相互作用をしあうシステムを析するツールとして、経済学及び様々な社会科学で広く応用されている。この講義では、複数の利己的なエージェントから成るシステムを分析するための数学的および数理的基礎を習得する。また、ゲーム理論の基本的な概念の理解およびゲーム理論による経済・社会現象の説明が可能となる。,ゲーム理論の基礎を理解することを目的とする。具体的には、複数のエージェント(人企業、国家)が相互作用をしあうシステムをどう数理的なモデルで表すかを理解し、まナッシュ均衡・サブゲーム完全均衡・ベイズ均衡といったシステムで起こり得る結果を予測するための概念を理解することを目的とする。第1回 ゲーム理論とは何か(1章) 戦略形ゲームとナッシュ均衡(2章)- 司法取引とゲーム理論の関係とは? -第2回 完全情報の展開形ゲーム(3章)- なぜ三国鼎立戦略はうまくいく? -第3回 戦略形ゲームの応用(4章)- そんなの一択だろ! -第4回 不完全競争市場への応用(5章)第5回 混合戦略(6章)- なぜ沢北とのマッチアップで流川はパスを選んだか? -第6回 一般の展開形ゲーム(7章)- 三橋・伊藤の今日からツッパリ戦略 -第7回 繰り返しゲーム(8章) 不確実性とゲーム理論(9章)- やられたらやり返す。倍返しだ! -第8回 不完備情報の戦略形ゲーム(10章)- 打者と投手の初対決はなぜ投手有利?-第9回 不完備情報の展開形ゲーム(11章)- シグナリング: 大学の価値は教育かそれとも。。? -第10回 不完備情報の展開形ゲーム(11章応用編)- 群衆行動: なぜ会議ではヒラ社員から発言すべき? -第11回 期末試験,前提条件は特になし。ただし、一部の内容は微分の知識が必要。,提出課題の成績及び期末試験で決定する。重みは前者が約3割、後者が約7割とする。ただし、重みは変更の可能性がある。成績不良者の救済は一切行わない。,事前に各講義で説明する章を学習しておくことが望ましい。,"講義の内容は以下の教科書に沿っている。宿題の一部も教科書より出題する。1. (教科書)渡辺隆裕,「ゼミナール ゲーム理論入門」日本経済新聞出版社2. (参考文献) 浅古 泰史, 図斎 大, 森谷 文利,「活かすゲーム理論」",メールによるアポイントメントで対応,以下には対応しておりませんためご注意ください。. 履修申請期間以降の履修取り消し(履修の取り消しは履修申請期間中にTWINSうにしてください。)ただし、担当教員の承認なしで取り消しができるケースについてはこの限りではありません。. 成績の早期開示(TWINSで公表されている成績参照開始日までお待ちください,,,戦略形ゲーム、ナッシュ均衡、展開形ゲーム、情報の非対称性
27,意思決定論,FH24031,2.0 単位,2 - 4 年次,夏季休業中 集中,"藤井 陽一朗, 上市 秀雄",効用モデル、リスク態度、トレード・オフなどの習得を通して、リスク下でののぞましい意思決定について学習する。さらに、社会・経済問題における代表的な対応策である保険を通して、リスク・マネジメントの手法について学習する。,社会経済システム,講義,汎用コンピテンス:批判的・創造的思考力、広い視野と国際性、データ・情報リテラシー専門コンピテンス:社会システムの基礎的理解と洞察力、社会的要請への対応力、複雑な社会問題解決のための数学・統計学・情報技術,リスク下でののぞましい意思決定について、その代表的な対応策である保険を通して、リスク・マネジメントの手法について習熟することを目標とする。,個人や家計における保険需要を通して、将来のリスクにいかに備えるかを学習する。第1回 序論、保険の基礎第2回 保険の概要とリスクの記述第3回 リスク下での選好第4回 個人の選好表現第5回 期待効用理論第6回 リスクの対する態度と個人間比較第7回 意思決定問題の定式化第8回 最適化と比較静学第9回 保険の代替行動第10回 アノマリーと他の選好表現,1年開講の微積分と統計の単位を取得していることが強く望まれる。,中間テスト(50%)と期末テスト(50%)により評価する。状況に応じて中間テストと期末テストは、中間レポートと期末レポートにそれぞれ置換える場合がある。90点以上A +80点以上90点未満A70点以上80点未満B60点以上70点未満C60点未満D,各回の講義に対応するクイズを入念に解いておくこと。,教材等の資料はすべてmanabaから各自でダウンロードしてください。,,この講義に積極的に参加することを望みます。,,,選好、期待効用理論、保険需要
28,進化ゲーム論,FH24044,2.0 単位,2 - 4 年次,"春AB 月5,6",秋山 英三,"社会科学に大きな影響を与えたダーウィン進化論と学習理論を概観し,進化ゲーム論の歩を学ぶ。人間の進化・学習(適応)が身近な社会現象を生み出すメカニズムを,具体通して追求する。",社会経済システム,講義及び演習,批判的・創造的思考力、データ・情報リテラシー、社会システムの基礎的理解と洞察力、複雑な社会問題解決のための数学・統計学・情報技術,●社会科学に大きな影響を与えた進化論と学習理論の基礎的知識と考え方を身につける。●ゲーム理論の基礎を身につける。基本的な解概念を修得し、具体例に関して計算できるようになる。●進化論とゲーム理論の考え方を踏まえた上で、進化ゲーム理論の考え方を修得する。●進化的安定戦略を計算できるようになる。●合理的主体を仮定したゲーム理論の帰結と進化・学習を前提とした進化ゲームの帰結の間の関係を理解する。●レプリケータ・ダイナミクスを理解し、社会集団における進化・学習の時間構造を理解する。●現在の社会問題を、人間行動の進化の視点から数理的に分析するスキルを修得する。●非線形動学、および、計算機シミュレーションの基礎をみにつけ、複雑な社会現象を数理的に理解する。,社会科学に大きな影響を与えたダーウィン進化論と学習理論を概観し、進化ゲーム論の初歩を学ぶ。社会における人間の行動様式の進化的起源について数理的な理解を行う。ミクロ(個人)レベルで行われる学習・進化がマクロレベル(社会)の現象を生み出すニズムを、様々な視点から追求する。第1回 進化の理論と人間社会1第2回 進化の理論と人間社会2第3回 ゲーム理論1第4回 ゲーム理論2第5回 進化ゲーム理論1第6回 進化ゲーム理論2第7回 社会的ジレンマと(利他的)協力行動の数理1第8回 社会的ジレンマと(利他的)協力行動の数理2第9回 エージェントシミュレーションと複雑系1第10回 エージェントシミュレーションと複雑系2,なし,"試験と課題により評価する(1:1)。評価は評語(A+, A, B, C, D)にて行う。",授業内容が積み上げ式なので、授業スライドはその日のうちにできるだけ復習すること。計算問題に関しては宿題を課す。受講者の理解度に応じ、授業中に指示するもある。,資料を配付,事前にメールにてお問い合わせ下さいeizo at sk.tsukuba.ac.jphttp://infoshako.sk.tsukuba.ac.jp/̃eizo,,,,"進化論, ゲーム理論, 進化ゲーム理論, 社会シミュレーション, 複雑系"
29,経済行動論,FH24071,2.0 単位,2 - 4 年次,"春AB 金3,4",上市 秀雄,"人間の経済行動に心理学的な側面からアプローチし,経済行動の理念および経済行動に響を及ぼす各要因について概観する。",社会経済システム,講義,汎用コンピテンス:批判的・創造的思考力、データ・情報リテラシー専門コンピテンス:社会システムの基礎的理解と洞察力、社会的要請への対応力,人々の経済行動には様々な要因が相互作用しながら影響を及ぼしている。特に心理的な要因の影響を大きい。この講義では、主に心理学的アプローチに基づいた視点より、人々の経済行動を解明するために必要不可欠な基礎的・基本的知識を習得する。具体的には、経済行動や意思決定と関連する理論(後悔理論、認知的不協和理論、多属態度モデルなど)、および経済行動に影響を及ぼす様々な要因(情報処理機能、認知バアス、記憶、社会的要因など)の影響を理解する。さらに身近な問題のみならず社会的な問題に対しても応用できる能力を習得する。,経済行動論では、人はどのように決定しているのか(記述的意思決定論)、どのように定すべきなのか(規範的意思決定)、そしてどのような要因が人々の経済行動に影響すのかについて心理学的な視点より講義する。第1回 ガイダンス、消費者行動第2回 消費者の情報処理過程第3回 知覚とマーケティング戦略第4回 消費者の知識と記憶1第5回 消費者の知識と記憶2第6回 消費者の学習第7回 消費者の動機付け第8回 消費者の態度形成と変容第9回 リスク認知とバイアス第10回 後悔を活かす心理学,受講者が多い場合には、社会工学類の学生を優先する。,毎回の小テスト20点、期末試験80点、合計100点で評価する。期末試験では、配の持込は不可。90点以上A +80点以上90点未満A70点以上80点未満B60点以上70点未満C60点未満D,受講者の理解度に応じ、授業中に指示する。授業内容は、実際の進行状況によって適宜変更を加える場合がある。次回授業までに前回講義の内容を復習し、理解しておくこと。事前に下記の参考図書を読んでおくとよい。,"毎回資料を配布し、それに沿って講義を行うため、指定教科書はない。講義内容は以下の書籍を参考にしている。1. 上市秀雄,後悔を活かす心理学 中公新書2. 杉本徹雄 編著,消費者理解のための心理学 福村出版3. 菊池聡・谷口高士・宮元博章 編著,不思議現象なぜ信じるのか 北大路書房4. 吉川肇子 編著,健康リスク・コミュニケーションの手引き ナカニシヤ出版",メールで連絡すること (ueichi at sk.tsukuba.ac.jp),本講義の内容は、消費者行動のみならず、様々な場面での人間の心理や行動を解明するために必要となる基本的な知識である。よって講義内容を十分に理解するとともに、自ら現実の問題に当てはめて考えることができるようになることを望みます。,,,"意思決定, 認知心理学, 社会心理学, 感情, リスク認知"
30,ミクロ経済学,FH24101,2.0 単位,2 - 4 年次,"春AB 火5,6",阿武 秀和,完全競争市場における資源配分に関する講義を行う。,社会経済システム,講義,"批判的・創造的思考力, 広い視野と国際性, 社会システムの基礎的理解と洞察力,な社会問題解決のための数学・統計学・情報技術",ミクロ経済理論の基礎的な内容を講義します。消費者と生産者が出会い、取引を行う場を市場と呼びますが、1、市場を科学的な方法(数学)を用いて記述すること2、市場均衡において何が起るのかを理解することの2点が本講義の主な目的です。より具体的には、そもそも消費者や生産者は何を目的どのように市場で行動するのか(需要関数と供給関数の導出)、理想的な条件のもとで争均衡配分は効率的であること(厚生経済学の基本定理)を理解することを目標にします。,第1回 ガイダンス、財について第2回 部分均衡分析:需要曲線と供給曲線第3回 部分均衡分析:需要の価格弾力性第4回 部分均衡分析:市場均衡第5回 部分均衡分析:余剰分析第6回 一般均衡理論(消費者の理論):効用関数、無差別曲線、限界代替率第7回 一般均衡理論(消費者の理論):予算制約、最適消費選択、マーシャルの需要第8回 一般均衡理論(消費者の理論):所得効果、正常財と劣等財、需要法則とギッ財、粗代替財と粗補完財第9回 一般均衡理論(消費者の理論):代替効果、スルツキー分解第10回 一般均衡理論(消費者の理論):補償変分と等価変分第11回 一般均衡理論(消費者の理論):ワルラスの消費者理論、労働供給第12回 一般均衡理論(消費者の理論):競争均衡の見つけ方第13回 一般均衡理論(消費者の理論):エッジワース・ボックス、純粋交換経済に厚生経済学の基本定理第14回 一般均衡理論(生産者の理論):生産関数、等産出量曲線、技術的限界代替第15回 一般均衡理論(生産者の理論):資本の価格、等費用線、費用最小化と長期最大化行動、長期の供給曲線第16回 一般均衡理論(生産者の理論):短期の費用関数(セットアップ・コストが合)第17回 一般均衡理論(生産者の理論):短期の費用関数(セットアップ・コストが合)、各種の費用概念第18回 一般均衡理論(生産者の理論):損益分岐点と操業停止点第19回 一般均衡理論(生産者の理論):短期の供給曲線第20回 一般均衡理論:代表的個人モデルにおける競争均衡,高校卒業程度の数学力が身についていることを前提として講義します。特に、多項式関数の導関数の求め方、微分積分法の基本定理を用いて定積分(時々、広義積分)を計算る力が身についていることを期待しています。,中間(40%)および期末テスト(60%)の得点のみによって成績をつけます。,準備学習:テキストの該当箇所に目を通して授業に臨んでください。事後学習:毎回授業後にその日のスライドをManabaにアップロードします。授業た計算や、提示したグラフを自分自身で再構成できるように練習してみてください。同時に、演習問題と模範解答をアップロードしますので試験前までに解いておいてください。,教科書風に記述された文書のpdfファイルをManabaにアップロードします。各て利用してください。,随時。メールでアポイントメントを取って下さい。anno.hidekazu.fp at u.tsukuba.ac.jp,,,,消費者、生産者、競争均衡、厚生経済学の基本定理
31,実証ミクロ経済学,FH24111,2.0 単位,2 - 4 年次,"秋AB 金5,6",作道 真理,ミクロ的な実証分析、及び、政策評価に必要となる技術習得を目標とする。,社会経済システム,講義,「批判的・創造的思考力」「複雑な社会問題解決のための数学・統計学・情報技術」と関連する,ミクロ的実証分析で用いられる手法を習得する。,(1) 計量分析の基礎1(2) 計量分析の基礎2(3) 計量分析の基礎3(4) クロスセクション1(5) クロスセクション2(6) クロスセクション3(7) 発展的手法1(8) 発展的手法2(9) 発展的手法3(10) まとめ,統計学、計量経済学,課題レポート50%、プレゼンテーション50%,課題に取り組むこと,"J.M. Wooldridge, ""Introductory Economet授業で指示する",アポイントメントをとること,,,,計量経済学
32,社会経済特別講義I(社会経済データ分析入門),FH25011,1.0 単位,2 - 4 年次,夏季休業中 集中,坂地 泰紀,社会経済分野の先端的かつ専門的な講義を行う。,社会経済システム,講義,批判的・創造的思考力、社会システムの基礎的理解と洞察力,エージェントベースのコンピュータ・シミュレーションで、様々な社会現象を紐解く分野を「人工社会」といいます。本講義では、代表的な人工社会モデル、マルチエージェントモデルのいくつか(シェリグの分居モデル、Sugarscapeモデルなど)を、実際のデモンストレーションし、遺伝的アルゴリズムを用いた外国為替市場のマルチエージェントモデルなど、いくつかの興味深い研究成果に関する知見の取得を目指します。,社会経済分野の先端的かつ専門的な講義を行う。第1回 基本用語の説明第2回 人工社会研究の紹介第3回 組織はなぜできるのか? ・・・群れ行動、適応的な組織第4回 社会の動きを調べる ・・・住み分け、民族対立第5回 人工社会を作ってみよう ・・・シミュレータを使ったプログラミング(2コ分)第6回 人間の歴史を再現する ・・・砂糖社会、インディアン部族第7回 現実の問題に適用する ・・・テーマパークの混雑、テレビの視聴、自然災害第8回 金融市場のシミュレーション ・・・人工市場(2コマ分),特になし,"レポートにより評価する成績評価は評語(A+, A, B, C, D)にて行う。",授業スライドはその日のうちにできるだけ復習すること。受講者の理解度に応じ、授業中に指示するもある。,資料を配付,担当教員にお問い合わせください,和泉氏は、人工社会、マルチエージェントシミュレーション、経済テキストマイニング、移動データ解析等の分野の最前線で活躍している研究者です。興味のある方の参加を歓迎します。,,,複雑系、データ分析
33,社会経済特別講義II(入門複雑系経済学),FH25021,1.0 単位,2 - 4 年次,春C 集中,花木 伸行,社会経済分野の先端的かつ専門的な講義を行う。,社会経済システム,講義,批判的・創造的思考力、社会システムの基礎的理解と洞察力,社会・経済現象を複雑適応系として捉え分析することで、どのような新しい知見を得ることが可能になるかを理解する。また、その際に用いる分析手法であるエージェントシミュレーション、被験者実験を実際に体験することを通じて、社会・経済システムを分析する際の新しい視点と手法を身につける。,参加型の授業です。授業中に実施する実験や、グループ討議には積極的に参加してください。1) なぜ複雑系アプローチなのか2) NetLogo入門3) 市場実験とゼロ知能エージェント4) 美人投票コンテスト:戦略的環境の効果5) 価格予想実験6) 公共財ゲームと学習モデル7) まとめの議論,経済学の基礎的な内容を理解していること。,講義内に課す複数の課題に基づいて評価する。評価は評語による。,受講者の理解度に応じ、授業中に指示する。,西野成昭・花木伸行(2021)『マルチエージェントのための行動科学 実験経済学アプローチ』コロナ社,担当教員にお問い合わせください。,開講日程、履修申請期間、受講の要件等は事前にTwins掲示板に掲示するのでよくれに従うこと。,,,複雑系、エージェントシミュレーション、被験者実験
34,社会経済特別講義III(脳と社会),FH25031,1.0 単位,2 - 4 年次,夏季休業中 集中,奥田 次郎,社会経済分野の先端的かつ専門的な講義を行う。,社会経済システム,講義,批判的・創造的思考力、社会システムの基礎的理解と洞察力,未来を予測するとき、過去の出来事を想い出すとき、私たちの脳はどのように働くのでしょうか? 将来のための意思決定、スケジューリングに記憶、学習のプロセスはどのうに関わっているのでしょうか?  本講義では、人間の身体とこころ、知覚と意識、・記憶、感情、動機付け、意思決定等に関する認知神経科学の基本的な知識を習得し、さらに、神経経済学や神経倫理学など、近年の社会神経科学の最前線の知見に触れてそれらを習得することを目的とします。,社会経済分野の先端的かつ専門的な講義を行う。第1回 脳とこころ̃ハードとソフトの多様な関係第2回 脳を測って、こころを観る ̃ 脳計測の実際(1)第3回 脳を測って、こころを観る ̃ 脳計測の実際(2)第4回 意識と注意、感覚/知覚/認知 ̃ 外界センシング第5回 身体意識と運動、計画と遂行 ̃ 行動プログラム第6回 記憶と想像 ̃ 無限なる夢幻の世界(1)第7回 記憶と想像 ̃ 無限なる夢幻の世界(2)第8回 感情と情動 ̃ 認知の土台、意思決定の舵取り第9回 報酬と動機付け、経済行動 ̃ 生きる目的第10回 道徳性と社会性 ̃ 脳科学の社会応用と倫理的問題,なし,"レポートにより評価する評価は評語(A+, A, B, C, D)にて行う。",授業スライドはその日のうちにできるだけ復習すること。受講者の理解度に応じ、授業中に指示するもある。,授業にて配布,担当教員にお問い合わせください,奥田氏は、「機能的MRI」など様々な脳計測手法を駆使して、知覚から学習・記憶、決定、言語、コミュニケーションまで幅広く研究を進めているユニークで新鋭の認知脳研究者です。興味のある方の参加を歓迎します。,,,脳科学、認知科学、社経経済
35,国際貿易論,FH25051,2.0 単位,2 - 4 年次,"春AB 木1,2",内藤 久裕,"As the economy becomes more globalized,basic mechanism of international tradecourse, we first study the concept of ccountries will be engaged in internatiowelfare by using several models. (The RFactor Model). Then, we study the monopinternational trade theory.  In additiointernational factor movement such as iinvestment.",社会経済システム,講義,"1. General-propose competence: criticalinformation literacy, broad perspective2. Special competence: understanding inskills on international development.","To be able to understand the basic mechOhlin model, trade policy, internationainternational investment.","Trade Overview and Motivation; A simplelasticity and welfareRicardian Model 1; production possibilmaximization, and profit maximizationRicardin Model 2; Incomplete SpecializpatternRicardian Model 3;  Dornbush Fisher SaH-O model(2)ImmigrationInternational Investment and Policy IsTrade PolicyOligopoly ModelConclusions",,"Class participation( attendance, homewoFinal Examination 30%",,,Thursday 1:00PM-2:00PMnaito.hisahiro.gu at u.tsukuba.ac.jphttp://www.dpipe.tsukuba.ac.jp/̃naito/,,,,
